"p","U:0","U:1","U:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00029887,0,0,0,0,0,0,0,0,0,1,0,2,0,1.9
0.0002991,0.0044997,-2.2141e-06,0.0011055,2.06e-05,2.839e-08,2.992e-06,-3.2376e-07,2.82e-08,2.5961e-08,1,0.002,2,0.002,1.9
0.00029933,0.0089994,-4.4283e-06,0.002211,4.1199e-05,5.678e-08,5.9839e-06,-6.4752e-07,5.6401e-08,5.1922e-08,1,0.004,2,0.004,1.9
0.00029944,0.014513,-6.7988e-05,0.0031579,6.2186e-05,8.4423e-08,9.0295e-06,-9.812e-07,7.0669e-08,2.6743e-07,1,0.006,2,0.006,1.9
0.00029948,0.020702,-0.00017245,0.0039989,8.3432e-05,1.1157e-07,1.2111e-05,-1.3215e-06,7.5649e-08,6.093e-07,1,0.008,2,0.008,1.9
0.00029958,0.026395,-0.00024616,0.0047779,0.00010779,1.5831e-07,1.5313e-05,-1.8181e-06,9.3133e-08,9.1546e-07,1,0.01,2,0.01,1.9
0.00029994,0.030108,-0.00019689,0.0053092,0.0001446,2.8342e-07,1.8998e-05,-2.94e-06,1.6063e-07,1.0788e-06,1,0.012,2,0.012,1.9
0.0003003,0.03382,-0.00014762,0.0058405,0.00018141,4.0853e-07,2.2682e-05,-4.0619e-06,2.2813e-07,1.2421e-06,1,0.014,2,0.014,1.9
0.00030054,0.03828,-0.00020849,0.0062643,0.00021792,5.3083e-07,2.6402e-05,-5.1745e-06,2.5551e-07,1.6078e-06,1,0.016,2,0.016,1.9
0.00030068,0.043349,-0.00035917,0.0066005,0.00025417,6.5085e-07,3.015e-05,-6.2795e-06,2.5018e-07,2.1386e-06,1,0.018,2,0.018,1.9
0.00030082,0.048417,-0.00050984,0.0069368,0.00029043,7.7087e-07,3.3898e-05,-7.3846e-06,2.4485e-07,2.6693e-06,1,0.02,2,0.02,1.9
0.00030093,0.051468,-0.00046311,0.0071938,0.0003223,1.0549e-06,3.7157e-05,-9.0233e-06,3.3452e-07,3.1471e-06,1,0.022,2,0.022,1.9
0.00030104,0.054299,-0.00039485,0.0074422,0.0003537,1.3569e-06,4.0362e-05,-1.072e-05,4.3454e-07,3.6192e-06,1,0.024,2,0.024,1.9
0.00030114,0.05713,-0.00032659,0.0076906,0.00038509,1.6588e-06,4.3567e-05,-1.2417e-05,5.3457e-07,4.0912e-06,1,0.026,2,0.026,1.9
