"p","U:0","U:1","U:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-4.7026e-05,0,0,0,0,0,0,0,0,0,1,0,2,0,0.1
-4.7263e-05,0.0048699,-1.568e-05,-0.00095222,2.1497e-05,2.5404e-08,2.4382e-06,-2.8842e-07,2.1593e-08,5.9082e-07,1,0.002,2,0.002,0.1
-4.75e-05,0.0097399,-3.136e-05,-0.0019044,4.2994e-05,5.0809e-08,4.8763e-06,-5.7683e-07,4.3187e-08,1.1816e-06,1,0.004,2,0.004,0.1
-4.7712e-05,0.014592,3.8473e-06,-0.0027259,6.638e-05,7.6203e-08,7.6979e-06,-8.9986e-07,5.3802e-08,1.6802e-06,1,0.006,2,0.006,0.1
-4.7907e-05,0.019432,7.298e-05,-0.0034602,9.1025e-05,1.0159e-07,1.0775e-05,-1.246e-06,5.7099e-08,2.1173e-06,1,0.008,2,0.008,0.1
-4.8166e-05,0.024343,0.00011583,-0.0041729,0.00011826,1.4362e-07,1.386e-05,-1.7278e-06,6.7018e-08,2.7199e-06,1,0.01,2,0.01,0.1
-4.8685e-05,0.029536,5.3571e-05,-0.0047992,0.00015584,2.5224e-07,1.6976e-05,-2.7528e-06,1.0342e-07,3.9849e-06,1,0.012,2,0.012,0.1
-4.9203e-05,0.034729,-8.6934e-06,-0.0054255,0.00019342,3.6085e-07,2.0091e-05,-3.7778e-06,1.3983e-07,5.2498e-06,1,0.014,2,0.014,0.1
-4.9792e-05,0.039578,-6.2003e-06,-0.0060026,0.00023364,4.7197e-07,2.3441e-05,-4.9214e-06,1.5873e-07,6.2022e-06,1,0.016,2,0.016,0.1
-5.0437e-05,0.044146,4.9097e-05,-0.0065397,0.00027603,5.8514e-07,2.6981e-05,-6.1616e-06,1.6337e-07,6.8996e-06,1,0.018,2,0.018,0.1
