"p","U:0","U:1","U:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00013022,0,0,0,0,0,0,0,0,0,1,0,2,0,1.5
0.00013018,0.0056254,2.5315e-06,0.00029253,2.5543e-05,2.1212e-08,2.3757e-06,-3.6107e-07,5.6822e-09,-1.0187e-06,1,0.002,2,0.002,1.5
0.00013013,0.011251,5.0631e-06,0.00058506,5.1085e-05,4.2423e-08,4.7515e-06,-7.2214e-07,1.1364e-08,-2.0373e-06,1,0.004,2,0.004,1.5
0.00013008,0.016913,-1.0616e-05,0.00077483,7.313e-05,6.319e-08,7.2333e-06,-1.0308e-06,1.5662e-08,-2.6975e-06,1,0.006,2,0.006,1.5
0.00013003,0.0226,-3.8437e-05,0.0008961,9.2843e-05,8.3661e-08,9.7859e-06,-1.3046e-06,1.9037e-08,-3.1188e-06,1,0.008,2,0.008,1.5
0.00012996,0.028068,-5.7835e-05,0.001004,0.0001172,1.1996e-07,1.2441e-05,-1.7687e-06,3.0946e-08,-3.6918e-06,1,0.01,2,0.01,1.5
0.00012981,0.032662,-4.3541e-05,0.0010582,0.00016013,2.196e-07,1.5504e-05,-2.9941e-06,7.699e-08,-4.8717e-06,1,0.012,2,0.012,1.5
0.00012967,0.037257,-2.9248e-05,0.0011125,0.00020306,3.1923e-07,1.8567e-05,-4.2195e-06,1.2303e-07,-6.0516e-06,1,0.014,2,0.014,1.5
0.00012954,0.042346,-4.1044e-05,0.0011773,0.00024102,4.1586e-07,2.1742e-05,-5.3013e-06,1.4733e-07,-6.7697e-06,1,0.016,2,0.016,1.5
0.00012944,0.047838,-7.4113e-05,0.0012507,0.00027492,5.1003e-07,2.5007e-05,-6.266e-06,1.5388e-07,-7.1113e-06,1,0.018,2,0.018,1.5
0.00012933,0.05333,-0.00010718,0.0013242,0.00030883,6.0421e-07,2.8272e-05,-7.2307e-06,1.6044e-07,-7.4529e-06,1,0.02,2,0.02,1.5
0.00012908,0.057092,-8.335e-05,0.0012377,0.00034205,8.4411e-07,3.0973e-05,-8.9488e-06,2.1805e-07,-7.85e-06,1,0.022,2,0.022,1.5
0.00012882,0.060666,-5.3313e-05,0.0011337,0.00037518,1.0999e-06,3.3612e-05,-1.0749e-05,2.8124e-07,-8.2531e-06,1,0.024,2,0.024,1.5
0.00012856,0.06424,-2.3276e-05,0.0010297,0.00040832,1.3557e-06,3.6251e-05,-1.2549e-05,3.4443e-07,-8.6562e-06,1,0.026,2,0.026,1.5
