"p","U:0","U:1","U:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-4.9887e-05,0,0,0,0,0,0,0,0,0,1,0,2,0,1
-5.0019e-05,0.0040213,6.2131e-05,-0.00047783,2.3112e-05,3.5088e-08,3.264e-06,-3.7527e-07,-1.7285e-09,1.6238e-06,1,0.002,2,0.002,1
-5.0151e-05,0.0080426,0.00012426,-0.00095565,4.6224e-05,7.0176e-08,6.528e-06,-7.5054e-07,-3.4571e-09,3.2476e-06,1,0.004,2,0.004,1
-5.0283e-05,0.012064,0.00018639,-0.0014335,6.9336e-05,1.0526e-07,9.792e-06,-1.1258e-06,-5.1856e-09,4.8714e-06,1,0.006,2,0.006,1
-5.0416e-05,0.016085,0.00024852,-0.0019113,9.2447e-05,1.4035e-07,1.3056e-05,-1.5011e-06,-6.9141e-09,6.4951e-06,1,0.008,2,0.008,1
-5.0585e-05,0.020039,0.00030517,-0.0022832,0.00011873,1.9823e-07,1.6444e-05,-2.0551e-06,-8.7679e-09,8.2155e-06,1,0.01,2,0.01,1
-5.0904e-05,0.023726,0.00033986,-0.0022315,0.00015771,3.4726e-07,2.0329e-05,-3.324e-06,-1.1123e-08,1.0322e-05,1,0.012,2,0.012,1
-5.1223e-05,0.027413,0.00037456,-0.0021798,0.00019668,4.9629e-07,2.4214e-05,-4.5929e-06,-1.3477e-08,1.2429e-05,1,0.014,2,0.014,1
-5.1542e-05,0.031099,0.00040925,-0.0021281,0.00023565,6.4533e-07,2.81e-05,-5.8618e-06,-1.5832e-08,1.4536e-05,1,0.016,2,0.016,1
-5.1861e-05,0.034786,0.00044395,-0.0020764,0.00027463,7.9436e-07,3.1985e-05,-7.1307e-06,-1.8187e-08,1.6643e-05,1,0.018,2,0.018,1
-5.218e-05,0.038473,0.00047865,-0.0020247,0.0003136,9.4339e-07,3.587e-05,-8.3997e-06,-2.0542e-08,1.875e-05,1,0.02,2,0.02,1
-5.2549e-05,0.041264,0.00042225,-0.0016006,0.00034432,1.257e-06,3.8989e-05,-1.0192e-05,6.09e-09,2.0048e-05,1,0.022,2,0.022,1
-5.2922e-05,0.043958,0.00035592,-0.0011358,0.00037413,1.5886e-06,4.2025e-05,-1.2041e-05,3.5882e-08,2.1258e-05,1,0.024,2,0.024,1
-5.3295e-05,0.046651,0.00028959,-0.00067104,0.00040394,1.9201e-06,4.5061e-05,-1.3891e-05,6.5675e-08,2.2468e-05,1,0.026,2,0.026,1
-5.3669e-05,0.049345,0.00022327,-0.00020628,0.00043375,2.2517e-06,4.8097e-05,-1.574e-05,9.5467e-08,2.3678e-05,1,0.028,2,0.028,1
-5.4042e-05,0.052038,0.00015694,0.00025849,0.00046356,2.5833e-06,5.1133e-05,-1.759e-05,1.2526e-07,2.4888e-05,1,0.03,2,0.03,1
-5.4401e-05,0.054706,8.5784e-05,0.00072457,0.00049217,2.9239e-06,5.4107e-05,-1.9415e-05,1.5834e-07,2.6036e-05,1,0.032,2,0.032,1
-5.4501e-05,0.056919,-7.1053e-05,0.001214,0.00049946,3.4251e-06,5.5969e-05,-2.0819e-05,2.4988e-07,2.6094e-05,1,0.034,2,0.034,1
-5.4601e-05,0.059132,-0.00022789,0.0017034,0.00050675,3.9264e-06,5.7831e-05,-2.2222e-05,3.4141e-07,2.6152e-05,1,0.036,2,0.036,1
-5.4701e-05,0.061345,-0.00038473,0.0021928,0.00051403,4.4277e-06,5.9694e-05,-2.3625e-05,4.3294e-07,2.621e-05,1,0.038,2,0.038,1
-5.4801e-05,0.063558,-0.00054156,0.0026822,0.00052132,4.9289e-06,6.1556e-05,-2.5029e-05,5.2447e-07,2.6268e-05,1,0.04,2,0.04,1
