"p","U:0","U:1","U:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00011117,0,0,0,0,0,0,0,0,0,1,0,2,0,0.5
0.00011114,0.0058011,-3.1166e-05,9.8252e-05,2.2049e-05,2.158e-08,2.4503e-06,-2.9561e-07,1.4631e-09,-3.4037e-07,1,0.002,2,0.002,0.5
0.0001111,0.011602,-6.2332e-05,0.0001965,4.4097e-05,4.316e-08,4.9007e-06,-5.9123e-07,2.9261e-09,-6.8073e-07,1,0.004,2,0.004,0.5
0.00011108,0.018024,-7.4229e-05,0.00010936,6.6531e-05,6.5263e-08,7.2962e-06,-8.8097e-07,-5.4405e-09,-9.3216e-07,1,0.006,2,0.006,0.5
0.00011107,0.024859,-7.3281e-05,-0.00010137,8.9222e-05,8.7713e-08,9.6551e-06,-1.1668e-06,-2.036e-08,-1.1243e-06,1,0.008,2,0.008,0.5
0.00011105,0.031353,-8.785e-05,-0.00029934,0.00011501,1.2583e-07,1.2114e-05,-1.5976e-06,-3.5497e-08,-1.3688e-06,1,0.01,2,0.01,0.5
0.00011099,0.036482,-0.00016449,-0.00044625,0.00015319,2.266e-07,1.497e-05,-2.6081e-06,-5.1503e-08,-1.8227e-06,1,0.012,2,0.012,0.5
0.00011093,0.04161,-0.00024113,-0.00059317,0.00019137,3.2737e-07,1.7827e-05,-3.6186e-06,-6.7508e-08,-2.2766e-06,1,0.014,2,0.014,0.5
0.00011085,0.046987,-0.00029967,-0.00070638,0.00023054,4.2876e-07,2.0632e-05,-4.6257e-06,-1.0836e-07,-2.6767e-06,1,0.016,2,0.016,0.5
0.00011075,0.052567,-0.00034346,-0.00079212,0.00027053,5.3065e-07,2.3395e-05,-5.63e-06,-1.6948e-07,-3.0328e-06,1,0.018,2,0.018,0.5
0.00011065,0.058146,-0.00038725,-0.00087786,0.00031051,6.3253e-07,2.6158e-05,-6.6344e-06,-2.306e-07,-3.3889e-06,1,0.02,2,0.02,0.5
0.00011063,0.062264,-0.00047722,-0.0011367,0.00034272,8.7102e-07,2.8451e-05,-8.0831e-06,-2.7976e-07,-3.5386e-06,1,0.022,2,0.022,0.5
0.00011062,0.066222,-0.00057222,-0.0014143,0.00037408,1.1244e-06,3.0694e-05,-9.5804e-06,-3.2761e-07,-3.6658e-06,1,0.024,2,0.024,0.5
0.00011061,0.070181,-0.00066723,-0.001692,0.00040544,1.3778e-06,3.2937e-05,-1.1078e-05,-3.7546e-07,-3.793e-06,1,0.026,2,0.026,0.5
0.00011042,0.073559,-0.0007284,-0.0016395,0.00043913,1.633e-06,3.5189e-05,-1.2585e-05,-4.6894e-07,-4.2107e-06,1,0.028,2,0.028,0.5
0.00011022,0.076924,-0.0007888,-0.0015795,0.00047287,1.8883e-06,3.7441e-05,-1.4093e-05,-5.6347e-07,-4.635e-06,1,0.03,2,0.03,0.5
0.00011004,0.080261,-0.00084799,-0.0015288,0.00050537,2.1527e-06,3.9654e-05,-1.5589e-05,-6.5778e-07,-5.0372e-06,1,0.032,2,0.032,0.5
0.00011004,0.083106,-0.0008859,-0.0016427,0.00051588,2.5778e-06,4.1163e-05,-1.6871e-05,-7.483e-07,-5.0469e-06,1,0.034,2,0.034,0.5
0.00011004,0.08595,-0.00092381,-0.0017567,0.0005264,3.0029e-06,4.2672e-05,-1.8153e-05,-8.3882e-07,-5.0567e-06,1,0.036,2,0.036,0.5
0.00011004,0.088795,-0.00096172,-0.0018707,0.00053691,3.4279e-06,4.4181e-05,-1.9435e-05,-9.2934e-07,-5.0664e-06,1,0.038,2,0.038,0.5
0.00010984,0.090559,-0.00096104,-0.0016704,0.00054896,3.8617e-06,4.585e-05,-2.0745e-05,-9.9585e-07,-5.5919e-06,1,0.04,2,0.04,0.5
0.00010959,0.092095,-0.00095221,-0.0014039,0.00056134,4.2973e-06,4.7554e-05,-2.2062e-05,-1.0573e-06,-6.2263e-06,1,0.042,2,0.042,0.5
0.00010935,0.093631,-0.00094337,-0.0011373,0.00057372,4.7329e-06,4.9257e-05,-2.3379e-05,-1.1187e-06,-6.8607e-06,1,0.044,2,0.044,0.5
0.00010915,0.095366,-0.00090684,-0.00094945,0.00057684,5.2283e-06,5.0548e-05,-2.4377e-05,-1.2425e-06,-7.1627e-06,1,0.046,2,0.046,0.5
0.00010898,0.097234,-0.00085167,-0.00081463,0.00057373,5.7639e-06,5.156e-05,-2.5162e-05,-1.4082e-06,-7.2411e-06,1,0.048,2,0.048,0.5
0.00010882,0.099102,-0.00079651,-0.00067981,0.00057063,6.2996e-06,5.2573e-05,-2.5946e-05,-1.5739e-06,-7.3194e-06,1,0.05,2,0.05,0.5
0.00010866,0.10093,-0.00074024,-0.00053197,0.00056755,6.836e-06,5.3594e-05,-2.6733e-05,-1.7344e-06,-7.4189e-06,1,0.052,2,0.052,0.5
0.00010854,0.10155,-0.00065356,-2.5106e-05,0.00056513,7.3957e-06,5.4843e-05,-2.761e-05,-1.7537e-06,-8.1007e-06,1,0.054,2,0.054,0.5
0.00010842,0.10217,-0.00056688,0.00048176,0.00056271,7.9553e-06,5.6093e-05,-2.8487e-05,-1.7729e-06,-8.7824e-06,1,0.056,2,0.056,0.5
0.00010831,0.10279,-0.0004802,0.00098862,0.00056029,8.5149e-06,5.7342e-05,-2.9364e-05,-1.7922e-06,-9.4642e-06,1,0.058,2,0.058,0.5
0.00010804,0.10351,-0.00037865,0.0014201,0.00055562,9.0913e-06,5.8291e-05,-3.0062e-05,-1.8799e-06,-9.7949e-06,1,0.06,2,0.06,0.5
0.00010759,0.10435,-0.00026047,0.0017674,0.00054845,9.6866e-06,5.8904e-05,-3.0559e-05,-2.0442e-06,-9.7331e-06,1,0.062,2,0.062,0.5
0.00010714,0.10519,-0.0001423,0.0021147,0.00054128,1.0282e-05,5.9518e-05,-3.1055e-05,-2.2084e-06,-9.6714e-06,1,0.064,2,0.064,0.5
0.0001067,0.10604,-2.4122e-05,0.002462,0.0005341,1.0877e-05,6.0131e-05,-3.1552e-05,-2.3727e-06,-9.6097e-06,1,0.066,2,0.066,0.5
0.00010632,0.10669,7.935e-05,0.0029233,0.00052672,1.1472e-05,6.0777e-05,-3.2083e-05,-2.4614e-06,-9.7647e-06,1,0.068,2,0.068,0.5
0.00010599,0.10719,0.00017027,0.0034818,0.00051917,1.2066e-05,6.1452e-05,-3.2642e-05,-2.4857e-06,-1.0105e-05,1,0.07,2,0.07,0.5
0.00010567,0.10769,0.00026119,0.0040404,0.00051161,1.2661e-05,6.2126e-05,-3.3201e-05,-2.5099e-06,-1.0445e-05,1,0.072,2,0.072,0.5
0.00010535,0.10819,0.00035211,0.004599,0.00050405,1.3255e-05,6.2801e-05,-3.376e-05,-2.5342e-06,-1.0785e-05,1,0.074,2,0.074,0.5
0.00010476,0.10858,0.00048846,0.0050669,0.0004968,1.3862e-05,6.3206e-05,-3.4243e-05,-2.6017e-06,-1.0836e-05,1,0.076,2,0.076,0.5
0.00010399,0.10891,0.00065424,0.0054761,0.00048974,1.4478e-05,6.3437e-05,-3.4678e-05,-2.6973e-06,-1.0701e-05,1,0.078,2,0.078,0.5
0.00010323,0.10924,0.00082002,0.0058852,0.00048268,1.5093e-05,6.3668e-05,-3.5113e-05,-2.7928e-06,-1.0566e-05,1,0.08,2,0.08,0.5
0.00010247,0.10957,0.0009858,0.0062943,0.00047562,1.5709e-05,6.3899e-05,-3.5547e-05,-2.8884e-06,-1.043e-05,1,0.082,2,0.082,0.5
0.00010161,0.11004,0.0011248,0.0066749,0.00046834,1.6319e-05,6.41e-05,-3.5978e-05,-2.9803e-06,-1.0352e-05,1,0.084,2,0.084,0.5
0.00010048,0.11094,0.0011897,0.0069766,0.00046045,1.6913e-05,6.4219e-05,-3.6397e-05,-3.0622e-06,-1.0432e-05,1,0.086,2,0.086,0.5
9.9349e-05,0.11183,0.0012546,0.0072783,0.00045255,1.7507e-05,6.4339e-05,-3.6817e-05,-3.1441e-06,-1.0512e-05,1,0.088,2,0.088,0.5
9.8221e-05,0.11273,0.0013196,0.00758,0.00044466,1.8102e-05,6.4459e-05,-3.7236e-05,-3.226e-06,-1.0592e-05,1,0.09,2,0.09,0.5
9.7092e-05,0.11362,0.0013845,0.0078817,0.00043676,1.8696e-05,6.4578e-05,-3.7655e-05,-3.3079e-06,-1.0672e-05,1,0.092,2,0.092,0.5
9.6124e-05,0.114,0.0015529,0.008094,0.00043123,1.9238e-05,6.4592e-05,-3.8051e-05,-3.3954e-06,-1.0671e-05,1,0.094,2,0.094,0.5
9.5169e-05,0.11434,0.0017297,0.0082991,0.00042589,1.9777e-05,6.4597e-05,-3.8446e-05,-3.4833e-06,-1.0663e-05,1,0.096,2,0.096,0.5
9.4214e-05,0.11467,0.0019065,0.0085042,0.00042055,2.0315e-05,6.4602e-05,-3.884e-05,-3.5712e-06,-1.0656e-05,1,0.098,2,0.098,0.5
9.3259e-05,0.11501,0.0020833,0.0087092,0.00041521,2.0853e-05,6.4607e-05,-3.9234e-05,-3.6591e-06,-1.0648e-05,1,0.1,2,0.1,0.5
9.223e-05,0.11543,0.0022407,0.0088725,0.00040981,2.1385e-05,6.4596e-05,-3.9621e-05,-3.7518e-06,-1.0641e-05,1,0.102,2,0.102,0.5
9.0716e-05,0.11645,0.0022717,0.0087641,0.000404,2.1874e-05,6.4473e-05,-3.9957e-05,-3.8761e-06,-1.0636e-05,1,0.104,2,0.104,0.5
8.9202e-05,0.11747,0.0023027,0.0086556,0.00039819,2.2363e-05,6.435e-05,-4.0293e-05,-4.0004e-06,-1.0631e-05,1,0.106,2,0.106,0.5
8.7688e-05,0.11849,0.0023337,0.0085472,0.00039238,2.2852e-05,6.4227e-05,-4.0629e-05,-4.1246e-06,-1.0626e-05,1,0.108,2,0.108,0.5
8.6174e-05,0.11951,0.0023647,0.0084387,0.00038657,2.3341e-05,6.4104e-05,-4.0965e-05,-4.2489e-06,-1.062e-05,1,0.11,2,0.11,0.5
8.4861e-05,0.12028,0.0024272,0.0083237,0.00038161,2.3792e-05,6.4016e-05,-4.1269e-05,-4.3575e-06,-1.0718e-05,1,0.112,2,0.112,0.5
8.3937e-05,0.12057,0.0025502,0.008196,0.0003783,2.4171e-05,6.3998e-05,-4.1509e-05,-4.4357e-06,-1.1015e-05,1,0.114,2,0.114,0.5
8.3012e-05,0.12086,0.0026733,0.0080683,0.000375,2.455e-05,6.3979e-05,-4.175e-05,-4.5139e-06,-1.1312e-05,1,0.116,2,0.116,0.5
8.2087e-05,0.12116,0.0027964,0.0079405,0.00037169,2.493e-05,6.396e-05,-4.199e-05,-4.5922e-06,-1.1608e-05,1,0.118,2,0.118,0.5
8.1162e-05,0.12145,0.0029194,0.0078128,0.00036838,2.5309e-05,6.3942e-05,-4.2231e-05,-4.6704e-06,-1.1905e-05,1,0.12,2,0.12,0.5
8.0222e-05,0.12176,0.0030353,0.0076715,0.00036505,2.5687e-05,6.3923e-05,-4.2471e-05,-4.7487e-06,-1.2185e-05,1,0.122,2,0.122,0.5
7.8998e-05,0.1224,0.0030209,0.0072863,0.00036138,2.604e-05,6.3899e-05,-4.2704e-05,-4.827e-06,-1.2167e-05,1,0.124,2,0.124,0.5
7.7774e-05,0.12303,0.0030066,0.0069011,0.00035771,2.6394e-05,6.3876e-05,-4.2936e-05,-4.9053e-06,-1.2149e-05,1,0.126,2,0.126,0.5
7.655e-05,0.12367,0.0029922,0.0065159,0.00035404,2.6747e-05,6.3852e-05,-4.3168e-05,-4.9836e-06,-1.2132e-05,1,0.128,2,0.128,0.5
7.5325e-05,0.12431,0.0029779,0.0061307,0.00035037,2.7101e-05,6.3829e-05,-4.3401e-05,-5.062e-06,-1.2114e-05,1,0.13,2,0.13,0.5
7.4101e-05,0.12495,0.0029636,0.0057455,0.0003467,2.7454e-05,6.3806e-05,-4.3633e-05,-5.1403e-06,-1.2096e-05,1,0.132,2,0.132,0.5
